coverage,comparison,delta,lo,hi,significant
0.0,SimpleCNN C vs SimpleCNN B,0.0018298442,-0.0027709187,0.0062317075,False
0.0,SimpleCNN D vs SimpleCNN B,0.0011006324,-0.0043393048,0.0062430175,False
0.0,VGG11 B vs SimpleCNN B,-0.0034739855,-0.008689562,0.0021673962,False
0.0,VGG11 C vs VGG11 B,0.00579638,0.0002999097,0.010788535,True
0.0,VGG11 D vs VGG11 B,0.004257204,-0.0015020638,0.009973779,False
0.0,ResNet18-scratch B vs SimpleCNN B,-0.0013594086,-0.007565652,0.0046793865,False
0.0,ResNet18-scratch C vs ResNet18-scratch B,-0.012738772,-0.01930001,-0.006556162,True
0.0,ResNet18-scratch D vs ResNet18-scratch B,-0.022737721,-0.029439656,-0.016301984,True
0.0,ResNet18-pretrained B vs SimpleCNN B,-0.020187926,-0.026904752,-0.013644166,True
0.0,ResNet18-pretrained C vs ResNet18-pretrained B,-0.005784607,-0.012495987,0.0013376325,False
0.0,ResNet18-pretrained D vs ResNet18-pretrained B,-0.012028133,-0.019843603,-0.004453513,True
0.25,SimpleCNN C vs SimpleCNN B,0.0023461077,-0.0023582503,0.00682406,False
0.25,SimpleCNN D vs SimpleCNN B,3.152615e-05,-0.005163826,0.0050602527,False
0.25,VGG11 B vs SimpleCNN B,-0.00048875896,-0.005716124,0.0045911088,False
0.25,VGG11 C vs VGG11 B,0.004743376,-0.0005451888,0.010446772,False
0.25,VGG11 D vs VGG11 B,0.0041398327,-0.0014101177,0.009828337,False
0.25,ResNet18-scratch B vs SimpleCNN B,0.00020240182,-0.005377777,0.0056095,False
0.25,ResNet18-scratch C vs ResNet18-scratch B,-0.014447135,-0.020970922,-0.008493672,True
0.25,ResNet18-scratch D vs ResNet18-scratch B,-0.020195456,-0.026555961,-0.01419286,True
0.25,ResNet18-pretrained B vs SimpleCNN B,-0.018752819,-0.025093693,-0.012243177,True
0.25,ResNet18-pretrained C vs ResNet18-pretrained B,-0.0057372963,-0.012051267,0.00066386163,False
0.25,ResNet18-pretrained D vs ResNet18-pretrained B,-0.009657591,-0.017228588,-0.001581934,True
0.5,SimpleCNN C vs SimpleCNN B,-0.005369563,-0.010695063,-0.00038729905,True
0.5,SimpleCNN D vs SimpleCNN B,-0.0022959285,-0.0076008723,0.0027395964,False
0.5,VGG11 B vs SimpleCNN B,-0.0063757305,-0.0115412325,-0.0012101501,True
0.5,VGG11 C vs VGG11 B,0.006971422,0.0014853508,0.0127680125,True
0.5,VGG11 D vs VGG11 B,0.0066152974,0.0010355726,0.012094362,True
0.5,ResNet18-scratch B vs SimpleCNN B,-0.0048421547,-0.010628013,0.0007775858,False
0.5,ResNet18-scratch C vs ResNet18-scratch B,-0.013740737,-0.019968322,-0.00791083,True
