run,epochs,best_val_macro_F1,best_epoch,final_train_loss,checkpoint_MB
model_A_optical_clean,30,0.7541240496760541,27,0.4127383909442208,4.7
model_B_optical_maskaug,30,0.7458206039914189,28,0.4444457003564546,4.7
model_B_optical_maskaug_seed43,30,0.7432054947425609,26,0.4404628958665963,4.7
model_B_optical_maskaug_seed44,30,0.7449877749875067,30,0.4451182416894219,4.7
model_C_opticalSAR_maskaug,30,0.7477334067503659,25,0.4397495709585421,4.7
model_C_opticalSAR_maskaug_seed43,30,0.7420563744110731,29,0.4434427357081211,4.7
model_C_opticalSAR_maskaug_seed44,30,0.7425647007052537,30,0.44949369448604,4.7
model_D_opticalSAR_latefusion,30,0.747184434904442,26,0.3926580372181805,9.5
model_D_opticalSAR_latefusion_seed43,30,0.7493781216091713,26,0.3958941237492995,9.5
model_D_opticalSAR_latefusion_seed44,30,0.7464544385637353,28,0.3974268061645103,9.5
model_E_deep_latefusion,30,0.7308696764681386,8,0.065048256776098,56.1
pret18_B_optical,30,0.7187988145188487,4,0.1017356702888553,44.9
pret18_C_earlyfusion,30,0.7239133599159735,4,0.0274335572665387,44.9
pret18_D_latefusion,30,0.7235544006088575,16,0.0987058031852498,49.7
resnet_B_optical,30,0.7394519170270782,22,0.3375513795198816,44.8
resnet_C_earlyfusion,30,0.7339903367800308,14,0.1860737344532302,44.8
resnetw16_B_optical,30,0.7324578664687962,22,0.4146683617974772,2.9
resnetw32_B_optical,30,0.7377131060977095,29,0.3512486815452575,11.3
vgg11w32_C_earlyfusion,30,0.7445311335246604,29,0.4047345424240285,9.3
vgg11w32_D_latefusion,30,0.749405508158262,27,0.3877981824405265,9.6
vgg_B_optical,30,0.744421257002515,22,0.4153024640047189,37.0
vgg_C_earlyfusion,30,0.7481575082387408,29,0.3930958030801831,37.0
vgg_D_latefusion,30,0.749213273913719,29,0.3619869960979981,41.7
vggw16_B_optical,30,0.7387812603099373,29,0.4391006597063758,2.4
vggw32_B_optical,30,0.742966420719731,22,0.4199289349895535,9.3
