coverage,group,delta_D_minus_B,d_lo,d_hi,significant
0.0,Water,0.00497647,-0.006190409,0.016075265,False
0.0,Urban,-0.008743686,-0.04656398,0.027721811,False
0.0,Agriculture,0.001117687,-0.005884826,0.008036395,False
0.0,Forest & shrub,0.0016067385,-0.004391207,0.008000811,False
0.25,Water,0.013093826,0.002329123,0.024631571,True
0.25,Urban,-0.014439473,-0.050452173,0.020416273,False
0.25,Agriculture,0.0015626791,-0.0053744717,0.008250134,False
0.25,Forest & shrub,-0.004413031,-0.010528495,0.0015858471,False
0.5,Water,0.018324375,0.0064623654,0.030440401,True
0.5,Urban,-0.03525963,-0.07432467,-0.0010029763,True
0.5,Agriculture,-0.0022420888,-0.009203479,0.0044073686,False
0.5,Forest & shrub,-0.004418994,-0.010043703,0.0011914552,False
0.75,Water,0.032977894,0.019661471,0.046330452,True
0.75,Urban,0.008213247,-0.026187185,0.04329912,False
0.75,Agriculture,-0.0055641974,-0.013252558,0.0015259951,False
0.75,Forest & shrub,0.00030880063,-0.0062277378,0.0068737045,False
0.9,Water,0.06293411,0.045825318,0.08020859,True
0.9,Urban,0.012494524,-0.026284963,0.04982313,False
0.9,Agriculture,-0.013050581,-0.021149503,-0.0046734945,True
0.9,Forest & shrub,0.00027511097,-0.0066009806,0.006661369,False
1.0,Water,0.8867993,0.8687867,0.9034923,True
1.0,Urban,0.43799433,0.38570446,0.4864889,True
1.0,Agriculture,0.065423265,0.050346248,0.08104887,True
1.0,Forest & shrub,0.23200572,0.22140066,0.24210428,True
