coverage,vs,delta_H,d_lo,d_hi,significant
0.0,B,0.0019443274,-0.0027235523,0.0065959943,False
0.0,D,0.00084369513,-0.00115069,0.0030084073,False
0.25,B,-0.001190379,-0.0056445794,0.0028287366,False
0.25,D,-0.0012219052,-0.004049781,0.0014844567,False
0.5,B,-0.00021332866,-0.0047205435,0.003909014,False
0.5,D,0.0020825998,-0.00044358074,0.004638533,False
0.75,B,0.0077715185,0.002965243,0.01246873,True
0.75,D,0.0029399332,0.00028427393,0.0057714717,True
0.9,B,0.011635839,0.006444931,0.016761284,True
0.9,D,0.003703031,0.0012460605,0.0060872464,True
1.0,B,0.34514287,0.33724323,0.35273954,True
1.0,D,0.03593297,0.03262836,0.03915564,True
