model,coverage,macro_F1,label_acc,subset_acc,source,variant,vs,delta,lo,hi,significant
VGG11-w32 | B,0.0,0.7427188144786644,0.7929926883901779,0.1320316132031613,mini,,,,,,
VGG11-w32 | B,0.25,0.7409869359371093,0.7904991335953679,0.12180381218038122,mini,,,,,,
VGG11-w32 | B,0.5,0.7326606009080254,0.7812856599467478,0.11436541143654114,mini,,,,,,
VGG11-w32 | B,0.75,0.7270502723128703,0.7732978318752377,0.10599721059972106,mini,,,,,,
VGG11-w32 | B,0.9,0.7110118935813969,0.7625206035247877,0.09716410971641097,mini,,,,,,
VGG11-w32 | B,1.0,0.0,0.6394911457672964,0.0,mini,,,,,,
VGG11-w32 | C,0.0,0.7480458934913508,0.801276361945818,0.13249651324965134,mini,,,,,,
VGG11-w32 | C,0.25,0.7464903503787514,0.799332234478678,0.12645281264528127,mini,,,,,,
VGG11-w32 | C,0.5,0.7424853420442812,0.7953594522632179,0.12505811250581125,mini,,,,,,
VGG11-w32 | C,0.75,0.7370001285509192,0.7869912514263979,0.1204091120409112,mini,,,,,,
VGG11-w32 | C,0.9,0.7280917154597281,0.7783272051054477,0.11250581125058112,mini,,,,,,
VGG11-w32 | C,1.0,0.7146227575396629,0.7675077131144077,0.10692701069270107,mini,,,,,,
VGG11-w32 | D,0.0,0.749964437860201,0.804911035036558,0.1403998140399814,mini,,,,,,
VGG11-w32 | D,0.25,0.7475301710693851,0.803643125818858,0.14272431427243143,mini,,,,,,
VGG11-w32 | D,0.5,0.7453916671229357,0.8019948438358481,0.13435611343561135,mini,,,,,,
VGG11-w32 | D,0.75,0.740603436851341,0.795528506825578,0.12598791259879125,mini,,,,,,
VGG11-w32 | D,0.9,0.7288951951551976,0.7862305058957778,0.11761971176197118,mini,,,,,,
VGG11-w32 | D,1.0,0.3498952523827677,0.6738937492075567,0.05299860529986053,mini,,,,,,
,0.0,,,,ci,B,SimpleCNN,-0.006802794,-0.012391819,-0.00099978,True
,0.0,,,,ci,B,VGG11 (full),-0.0033288084,-0.007627666,0.0009363994,False
,0.0,,,,ci,C,SimpleCNN,-0.0033742748,-0.008335359,0.0013783693,False
,0.0,,,,ci,C,VGG11 (full),-0.0038668246,-0.007898596,0.00016007274,False
,0.0,,,,ci,D,SimpleCNN,-0.0007697339,-0.0060267984,0.003952436,False
,0.0,,,,ci,D,VGG11 (full),-0.00045232015,-0.0056880834,0.0044864295,False
,0.25,,,,ci,B,SimpleCNN,-0.005117946,-0.010764149,0.00030969232,False
,0.25,,,,ci,B,VGG11 (full),-0.004629187,-0.008381787,-0.00087521673,True
,0.25,,,,ci,C,SimpleCNN,-0.0020650788,-0.006712757,0.0021322786,False
,0.25,,,,ci,C,VGG11 (full),-0.0039735883,-0.0078283865,5.5760147e-06,False
,0.25,,,,ci,D,SimpleCNN,0.0012991965,-0.0035976886,0.006599349,False
,0.25,,,,ci,D,VGG11 (full),-0.0023203506,-0.0076080756,0.0026676594,False
,0.5,,,,ci,B,SimpleCNN,-0.013898184,-0.019457396,-0.008594399,True
,0.5,,,,ci,B,VGG11 (full),-0.007522453,-0.012316806,-0.0030972064,True
,0.5,,,,ci,C,SimpleCNN,0.0012053673,-0.003478296,0.0062123714,False
,0.5,,,,ci,C,VGG11 (full),-0.004759887,-0.008708296,-0.0009326443,True
,0.5,,,,ci,D,SimpleCNN,0.0010206182,-0.004155098,0.0062068105,False
,0.5,,,,ci,D,VGG11 (full),-0.0015148766,-0.006696989,0.0039198087,False
,0.75,,,,ci,B,SimpleCNN,-0.002981258,-0.0075447336,0.0014516904,False
,0.75,,,,ci,B,VGG11 (full),-0.002354404,-0.0063298717,0.0015068963,False
,0.75,,,,ci,C,SimpleCNN,0.003601915,-0.00074639765,0.008370561,False
,0.75,,,,ci,C,VGG11 (full),-0.001422115,-0.0051644174,0.0023862584,False
,0.75,,,,ci,D,SimpleCNN,0.0056410427,-5.2145122e-05,0.010921771,False
,0.75,,,,ci,D,VGG11 (full),-6.7274574e-05,-0.004997422,0.004499617,False
,0.9,,,,ci,B,SimpleCNN,-0.0033525496,-0.0075867,0.0010455012,False
,0.9,,,,ci,B,VGG11 (full),0.0038639207,0.00028780996,0.0076025785,True
,0.9,,,,ci,C,SimpleCNN,0.005228082,0.0011476502,0.009582808,True
,0.9,,,,ci,C,VGG11 (full),0.00043085605,-0.003382553,0.0041069775,False
,0.9,,,,ci,D,SimpleCNN,0.006512971,0.001023066,0.012091284,True
,0.9,,,,ci,D,VGG11 (full),-0.003598075,-0.008711435,0.0013226017,False
,1.0,,,,ci,B,SimpleCNN,-0.32955092,-0.33451566,-0.32472733,True
,1.0,,,,ci,B,VGG11 (full),0.0,0.0,0.0,False
,1.0,,,,ci,C,SimpleCNN,0.0034491734,-0.00069118885,0.0076826154,False
,1.0,,,,ci,C,VGG11 (full),0.004157115,0.00032539963,0.008039819,True
,1.0,,,,ci,D,SimpleCNN,-0.2888714,-0.29920903,-0.27878645,True
,1.0,,,,ci,D,VGG11 (full),-0.20089984,-0.21037284,-0.19156411,True
