model,coverage,macro_F1,mAP,label_acc,subset_acc
A | SimpleCNN clean-trained,0.0,0.752806017129344,0.802939362315043,0.804065762224758,0.13714551371455136
A | SimpleCNN clean-trained,0.25,0.7049255266662301,0.789125167325074,0.7439668653057775,0.040446304044630406
A | SimpleCNN clean-trained,0.5,0.6325519720485356,0.7318945156880587,0.696166687798487,0.038586703858670385
A | SimpleCNN clean-trained,0.75,0.41164292332165825,0.6439013057528539,0.6566924474874266,0.03486750348675035
A | SimpleCNN clean-trained,0.9,0.25455097994189013,0.5416728109375544,0.6459574827775665,0.03393770339377034
A | SimpleCNN clean-trained,1.0,0.11786551808915027,0.3605088542327036,0.6333206542411564,0.027429102742910275
SimpleCNN | B,0.0,0.7495467841168222,0.8051474392148132,0.800262034571658,0.13482101348210135
SimpleCNN | B,0.25,0.7461237217994833,0.8025606804581564,0.797853007058028,0.1320316132031613
SimpleCNN | B,0.5,0.7464988955224137,0.7951756165238034,0.7953594522632179,0.12598791259879125
SimpleCNN | B,0.75,0.7301271102779429,0.7792597885821287,0.7798486961666878,0.1111111111111111
SimpleCNN | B,0.9,0.7144065894059423,0.7530433580329795,0.7668314948649677,0.09623430962343096
SimpleCNN | B,1.0,0.3294698187016726,0.3605088542327036,0.5753349393516758,0.001394700139470014
SimpleCNN | C,0.0,0.7513781782466137,0.8029105541185865,0.802248425679388,0.13110181311018132
SimpleCNN | C,0.25,0.7484747805083891,0.7996579322692597,0.798951861713368,0.12645281264528127
SimpleCNN | C,0.5,0.7411602461271773,0.7930018201863188,0.792105151937788,0.12273361227336123
SimpleCNN | C,0.75,0.7333321122131754,0.7804833149498781,0.7831029964921178,0.11204091120409113
SimpleCNN | C,0.9,0.722896885676673,0.7624541018073892,0.7721989772198977,0.10692701069270107
SimpleCNN | C,1.0,0.7111132267053294,0.7343764066796759,0.7618021216347576,0.09902370990237098
SimpleCNN | D,0.0,0.7507063627895026,0.8027322992784107,0.802290689319978,0.1320316132031613
SimpleCNN | D,0.25,0.7461429723929472,0.8008375327168774,0.800262034571658,0.1297071129707113
SimpleCNN | D,0.5,0.7443083693646254,0.7975842656172081,0.798951861713368,0.1292422129242213
SimpleCNN | D,0.75,0.7350104252849046,0.7884662087045045,0.7891889607370779,0.11854951185495119
SimpleCNN | D,0.9,0.7225049799480971,0.7727458912923818,0.7812011326655678,0.11297071129707113
SimpleCNN | D,1.0,0.638792803081861,0.7076969109360273,0.7443049744304975,0.09669920966992096
VGG11 | B,0.0,0.7462010987447876,0.7920010499371183,0.7969232069650479,0.13389121338912133
