model,coverage,macro_F1,mAP,micro_F1,subset_acc
A: optical (clean-trained),0.0,0.7353045743909763,0.7856654129615489,0.7349574713850677,0.11901441190144119
A: optical (clean-trained),0.25,0.7081228241266869,0.7808131100924676,0.7074063087115594,0.04556020455602046
A: optical (clean-trained),0.5,0.649352431930102,0.7505579477585094,0.6600666837650679,0.04277080427708043
A: optical (clean-trained),0.75,0.39242476536091486,0.7047300858529884,0.5263092113485814,0.038586703858670385
A: optical (clean-trained),0.9,0.2104323410730269,0.6389880808070475,0.3977297533289675,0.03207810320781032
A: optical (clean-trained),1.0,0.11786551808915027,0.3605088542327036,0.3238778054862843,0.027429102742910275
B: optical (mask-aug),0.0,0.7361131064150347,0.7804240424100393,0.7333988923968738,0.11297071129707113
B: optical (mask-aug),0.25,0.7314175413057588,0.781219567820763,0.7289496865122546,0.11204091120409113
B: optical (mask-aug),0.5,0.725153281609466,0.774858134098777,0.7248384118190212,0.1097164109716411
B: optical (mask-aug),0.75,0.7137714760213971,0.7620791516879349,0.7138732715392797,0.09669920966992096
B: optical (mask-aug),0.9,0.6976303706752333,0.7342072315123758,0.6996270537244229,0.09205020920502092
B: optical (mask-aug),1.0,0.23503656872232884,0.3605088542327036,0.4049779621467462,0.0
C: optical+SAR (mask-aug),0.0,0.7329834539805418,0.7724457646881373,0.7307471414399833,0.1111111111111111
C: optical+SAR (mask-aug),0.25,0.7311734695201128,0.7715495152895749,0.7299156794785577,0.11250581125058112
C: optical+SAR (mask-aug),0.5,0.7287070479433507,0.7674578555884625,0.7275252005760132,0.1097164109716411
C: optical+SAR (mask-aug),0.75,0.7203704132005402,0.7574105354848257,0.7186807523834063,0.10367271036727103
C: optical+SAR (mask-aug),0.9,0.7104916997751827,0.7425848395735755,0.7068239696481472,0.10181311018131102
C: optical+SAR (mask-aug),1.0,0.7002067928542278,0.7217324219224757,0.6937526382439848,0.09762900976290098
