model,coverage,macro_F1,mAP,micro_F1,subset_acc
A: optical (clean-trained),0.0,0.752806017129344,0.802939362315043,0.7513409139669599,0.13714551371455136
A: optical (clean-trained),0.25,0.7049255266662301,0.789125167325074,0.7084416209452306,0.040446304044630406
A: optical (clean-trained),0.5,0.6325519720485356,0.7318945156880587,0.6543583826145488,0.038586703858670385
A: optical (clean-trained),0.75,0.41164292332165825,0.6439013057528539,0.539903709997168,0.03486750348675035
A: optical (clean-trained),0.9,0.25455097994189013,0.5416728109375544,0.4507245426529408,0.03393770339377034
A: optical (clean-trained),1.0,0.11786551808915027,0.3605088542327036,0.3238778054862843,0.027429102742910275
B: optical (mask-aug),0.0,0.7495467841168222,0.8051474392148132,0.747812166488794,0.13482101348210135
B: optical (mask-aug),0.25,0.7461237217994833,0.8025606804581564,0.7454090594560068,0.1320316132031613
B: optical (mask-aug),0.5,0.7464988955224137,0.7951756165238034,0.7455596426694693,0.12598791259879125
B: optical (mask-aug),0.75,0.7301271102779429,0.7792597885821287,0.7305085622639557,0.1111111111111111
B: optical (mask-aug),0.9,0.7144065894059423,0.7530433580329795,0.7175838239058101,0.09623430962343096
B: optical (mask-aug),1.0,0.3294698187016726,0.3605088542327036,0.5312558313118119,0.001394700139470014
C: optical+SAR (mask-aug),0.0,0.7513781782466137,0.8029105541185865,0.7499064621305254,0.13110181311018132
C: optical+SAR (mask-aug),0.25,0.7484747805083891,0.7996579322692597,0.7474919050905038,0.12645281264528127
C: optical+SAR (mask-aug),0.5,0.7411602461271773,0.7930018201863188,0.7410643785860925,0.12273361227336123
C: optical+SAR (mask-aug),0.75,0.7333321122131754,0.7804833149498781,0.7328752862794087,0.11204091120409113
C: optical+SAR (mask-aug),0.9,0.722896885676673,0.7624541018073892,0.7206095791001451,0.10692701069270107
C: optical+SAR (mask-aug),1.0,0.7111132267053294,0.7343764066796759,0.7062747550552428,0.09902370990237098
