model,seed,coverage,macro_F1
B,42,0.0,0.7495467841168222
B,42,0.25,0.7461237217994833
B,42,0.5,0.7464988955224137
B,42,0.75,0.7301271102779429
B,42,0.9,0.7144065894059423
B,42,1.0,0.3294698187016726
C,42,0.0,0.7513781782466137
C,42,0.25,0.7484747805083891
C,42,0.5,0.7411602461271773
C,42,0.75,0.7333321122131754
C,42,0.9,0.722896885676673
C,42,1.0,0.7111132267053294
D,42,0.0,0.7507063627895026
D,42,0.25,0.7461429723929472
D,42,0.5,0.7443083693646254
D,42,0.75,0.7350104252849046
D,42,0.9,0.7225049799480971
D,42,1.0,0.638792803081861
B,43,0.0,0.7506639262584375
B,43,0.25,0.7492166076908802
B,43,0.5,0.7450182867180537
B,43,0.75,0.72940761255398
B,43,0.9,0.7107390205868365
B,43,1.0,0.15194349425269846
C,43,0.0,0.749040085244446
C,43,0.25,0.7459494331109983
C,43,0.5,0.7403994709042814
C,43,0.75,0.7353216695676391
C,43,0.9,0.7276030619845835
C,43,1.0,0.7103368446433923
D,43,0.0,0.7461888162670902
D,43,0.25,0.7457896400105863
D,43,0.5,0.7438919887217808
D,43,0.75,0.7368818018758959
D,43,0.9,0.7226266554652311
D,43,1.0,0.628932620550055
B,44,0.0,0.7507088119130465
B,44,0.25,0.7487204043227432
B,44,0.5,0.7433100531438012
B,44,0.75,0.7310752046750082
B,44,0.9,0.7125321662489177
B,44,1.0,0.08023715415019762
C,44,0.0,0.7462609294821708
C,44,0.25,0.7452822971357367
C,44,0.5,0.7392607919342967
C,44,0.75,0.732236753948042
C,44,0.9,0.7246853386865101
C,44,1.0,0.7134447781382707
D,44,0.0,0.7442377796357872
D,44,0.25,0.7433860976406176
D,44,0.5,0.7414763965436596
D,44,0.75,0.7392806369075177
D,44,0.9,0.7297477143673926
D,44,1.0,0.6728162126550314
